Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1771236919620,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10,10,5.263157844543457,10,5.263157844543457,10,0,0,0,0,0,0,4.761904716491699,26.3157901763916,58.234100341796875,38654705664,0,20805681152,0
209,1771236919820,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.263157844543457,5.263157844543457,30.000001907348633,10.526315689086914,20,15.789472579956055,4.761904716491699,0,5,9.523809432983398,5,0,0,15.000000953674316,57.352210998535156,38654705664,0,20806647808,0
204,1771236920030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,13.636363983154297,9.090909004211426,5,5.263157844543457,9.090909004211426,5,4.761904716491699,0,0,0,4.545454502105713,4.761904716491699,0,23.809524536132813,57.352210998535156,38654705664,0,20803010560,0
201,1771236920234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.263157844543457,9.523809432983398,9.523809432983398,9.090909004211426,0,4.761904716491699,0,9.090909004211426,15.789472579956055,10,10.526315689086914,25,10,15.000000953674316,57.352210998535156,38654705664,0,20801994752,0
202,1771236920436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15.000000953674316,5.263157844543457,0,0,0,4.761904716491699,9.090909004211426,0,15.000000953674316,10.526315689086914,9.523809432983398,28.571430206298828,5,0,57.352210998535156,38654705664,0,20801519616,0
209,1771236920639,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10,9.523809432983398,0,0,0,0,0,0,20,15.000000953674316,10,26.3157901763916,5.263157844543457,5,57.352210998535156,38654705664,0,21165621248,0
209,1771236920849,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,14.285715103149414,5,0,0,0,0,4.761904716491699,0,19.047618865966797,5,14.285715103149414,23.809524536132813,9.523809432983398,4.761904716491699,57.50926971435547,38654705664,0,21164081152,0
199,1771236921059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,9.523809432983398,8.69565200805664,4.545454502105713,4.761904716491699,0,0,9.090909004211426,35,10,5,19.047618865966797,9.523809432983398,4.545454502105713,57.50926971435547,38654705664,0,21164507136,0
206,1771236921259,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,14.285715103149414,5.263157844543457,0,5,5,5,9.523809432983398,0,15.000000953674316,20,10.526315689086914,15.789472579956055,5.263157844543457,0,57.50926971435547,38654705664,0,21167063040,0
203,1771236921465,4,4,4,4,4,4,4,4,4,4,4,4,4,4,84.13658142089844,87.9460678100586,85.65625,89.8125,86.34300231933594,87.31668853759766,85.93023681640625,85.6297378540039,86.20966339111328,87.13867950439453,84.11747741699219,84.19534301757813,5,4.761904716491699,0,0,4.545454502105713,0,4.761904716491699,0,20,5,9.523809432983398,14.285715103149414,28.571430206298828,5,57.50926971435547,38654705664,0,21169324032,0
