Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1770925809878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.11732482910156,97.39360809326172,84.28125,84.328125,95.9144058227539,96.36467742919922,96.07963562011719,95.19009399414063,93.94770812988281,97.3607177734375,92.2054214477539,89.671630859375,85.71428680419922,85,90.47618865966797,90.47618865966797,90,90,84.21052551269531,80,85,90,85.71428680419922,85.71428680419922,90,90,73.47334289550781,38654705664,0,19977076736,0
204,1770925810083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.11732482910156,97.39360809326172,84.28125,84.328125,95.9144058227539,96.36467742919922,96.07963562011719,95.19009399414063,93.94770812988281,97.3607177734375,92.2054214477539,89.671630859375,89.47368621826172,85.71428680419922,94.73684692382813,94.73684692382813,95,90,85,85,90.47618865966797,85.71428680419922,90,89.47368621826172,90,95,73.47334289550781,38654705664,0,19989577728,0
205,1770925810288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.11732482910156,97.39360809326172,84.28125,84.328125,95.9144058227539,96.36467742919922,96.07963562011719,95.19009399414063,93.94770812988281,97.3607177734375,92.2054214477539,89.671630859375,85,84.21052551269531,90.90909576416016,90.47618865966797,90.90909576416016,95,80,78.94737243652344,89.47368621826172,90,90,90,85.71428680419922,90.47618865966797,73.47334289550781,38654705664,0,19998834688,0
205,1770925810493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.9285659790039,98.19954681396484,85.203125,85.25,96.56853485107422,97.02891540527344,96.49082946777344,95.70845794677734,94.74011993408203,98.00835418701172,92.9402847290039,90.398681640625,85,85.71428680419922,94.73684692382813,95,90,90.47618865966797,85,80.95238494873047,90.47618865966797,85.71428680419922,90,90.47618865966797,90,95,73.47334289550781,38654705664,0,20001030144,0
204,1770925810699,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.9285659790039,98.19954681396484,85.203125,85.25,96.56853485107422,97.02891540527344,96.49082946777344,95.70845794677734,94.74011993408203,98.00835418701172,92.9402847290039,90.398681640625,85,85,90.47618865966797,90.47618865966797,90,90.47618865966797,80.95238494873047,80,90,90,85.71428680419922,86.36363983154297,90,90,73.47334289550781,38654705664,0,20016873472,0
206,1770925810904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.9285659790039,98.19954681396484,85.203125,85.25,96.56853485107422,97.02891540527344,96.49082946777344,95.70845794677734,94.74011993408203,98.00835418701172,92.9402847290039,90.398681640625,85.71428680419922,85,90.47618865966797,90,90.47618865966797,90.47618865966797,85,80.95238494873047,90.90909576416016,95,95.23809814453125,94.73684692382813,95,90,73.4452133178711,38654705664,0,20017577984,0
204,1770925811111,4,4,4,4,4,4,4,4,4,4,4,4,4,4,93.9285659790039,98.19954681396484,85.203125,85.25,96.56853485107422,97.02891540527344,96.49082946777344,95.70845794677734,94.74011993408203,98.00835418701172,92.9402847290039,90.398681640625,85,85.71428680419922,85,85.71428680419922,90.47618865966797,90,85,84.21052551269531,95,90.47618865966797,90,90.47618865966797,90.47618865966797,86.36363983154297,73.4452133178711,38654705664,0,20017774592,0
204,1770925811316,4,4,4,4,4,4,4,4,4,4,4,4,4,4,95.44292449951172,99.63628387451172,86.5625,86.84375,98.04882049560547,98.80567932128906,98.11881256103516,97.23384094238281,96.11367797851563,99.60739135742188,94.31842041015625,91.837890625,85.71428680419922,84.21052551269531,90.47618865966797,90.47618865966797,90,90,80,80,90.47618865966797,95,95,95,90,90,73.4452133178711,38654705664,0,20018282496,0
204,1770925811521,4,4,4,4,4,4,4,4,4,4,4,4,4,4,95.44292449951172,99.63628387451172,86.5625,86.84375,98.04882049560547,98.80567932128906,98.11881256103516,97.23384094238281,96.11367797851563,99.60739135742188,94.31842041015625,91.837890625,85,85,89.47368621826172,89.47368621826172,89.47368621826172,89.47368621826172,85,80.95238494873047,95,90,90.47618865966797,90.47618865966797,95,90,73.4452133178711,38654705664,0,20018282496,0
204,1770925811726,4,4,4,4,4,4,4,4,4,4,4,4,4,4,95.44292449951172,99.63628387451172,86.5625,86.84375,98.04882049560547,98.80567932128906,98.11881256103516,97.23384094238281,96.11367797851563,99.60739135742188,94.31842041015625,91.837890625,85,85,85.71428680419922,85.71428680419922,85.71428680419922,86.36363983154297,80.95238494873047,80,90,95.23809814453125,95,95,90.47618865966797,85.71428680419922,73.4452133178711,38654705664,0,20018282496,0
