Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
202,1771063141336,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,21.052631378173828,10,10.526315689086914,19.047618865966797,0,10,5.263157844543457,0,31.57894515991211,30.000001907348633,45,35,20,9.523809432983398,21.99756622314453,38654705664,0,20704133120,0
200,1771063141538,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,23.809524536132813,10.526315689086914,4.761904716491699,0,4.761904716491699,0,5,5,50,36.842105865478516,35,35,40,0,21.99756622314453,38654705664,0,20690436096,0
202,1771063141738,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,21.052631378173828,15.000000953674316,0,0,0,0,5,9.523809432983398,31.57894515991211,47.619049072265625,35,40,31.57894515991211,5,21.99756622314453,38654705664,0,20690354176,0
201,1771063141941,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,10,0,0,4.761904716491699,0,9.523809432983398,0,35,42.105262756347656,47.36842346191406,40,38.095237731933594,5,31.26437759399414,38654705664,0,20690354176,0
204,1771063142143,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,21.052631378173828,25,5,0,0,0,5.263157844543457,5,47.619049072265625,35,30.000001907348633,25,47.36842346191406,0,31.26437759399414,38654705664,0,20690354176,0
200,1771063142348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,40,40,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,5.263157844543457,0,0,0,0,5,0,26.3157901763916,50,25,55,30.000001907348633,4.761904716491699,31.26437759399414,38654705664,0,20536147968,0
200,1771063142548,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.67993927001953,68.72261810302734,66.84375,70.0625,68.93234252929688,71.13845825195313,71.39912414550781,67.63192749023438,69.76898193359375,67.59046936035156,67.06560516357422,68.30020141601563,21.052631378173828,10,4.761904716491699,4.761904716491699,0,0,5,5,38.095237731933594,25,57.142860412597656,42.105262756347656,35,4.761904716491699,31.26437759399414,38654705664,0,20534738944,0
203,1771063142749,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.67993927001953,68.72261810302734,66.84375,70.0625,68.93234252929688,71.13845825195313,71.39912414550781,67.63192749023438,69.76898193359375,67.59046936035156,67.06560516357422,68.30020141601563,20,15.000000953674316,0,4.761904716491699,0,0,10,5,50,52.6315803527832,36.842105865478516,33.333335876464844,26.3157901763916,0,31.26437759399414,38654705664,0,20534722560,0
204,1771063142953,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.67993927001953,68.72261810302734,66.84375,70.0625,68.93234252929688,71.13845825195313,71.39912414550781,67.63192749023438,69.76898193359375,67.59046936035156,67.06560516357422,68.30020141601563,15.789472579956055,14.285715103149414,0,0,0,0,5,5,35,35,40,40,42.85714340209961,4.761904716491699,33.589847564697266,38654705664,0,20536016896,0
202,1771063143157,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.67993927001953,68.72261810302734,66.84375,70.0625,68.93234252929688,71.13845825195313,71.39912414550781,67.63192749023438,69.76898193359375,67.59046936035156,67.06560516357422,68.30020141601563,20,10.526315689086914,4.761904716491699,0,0,0,5,4.761904716491699,45,19.047618865966797,47.619049072265625,40,35,5,33.589847564697266,38654705664,0,20536016896,0
200,1771063143359,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.67993927001953,68.72261810302734,66.84375,70.0625,68.93234252929688,71.13845825195313,71.39912414550781,67.63192749023438,69.76898193359375,67.59046936035156,67.06560516357422,68.30020141601563,25,14.285715103149414,5,0,0,0,5,0,47.36842346191406,20,31.57894515991211,31.57894515991211,50,5,33.589847564697266,38654705664,0,20454981632,0
202,1771063143560,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.61310577392578,68.83271789550781,66.84375,70.296875,69.59838104248047,71.95574951171875,69.93821716308594,68.70773315429688,71.095947265625,67.94294738769531,67.4278564453125,68.6335220336914,20,5.555555820465088,0,0,4.761904716491699,9.090909004211426,9.523809432983398,5,42.85714340209961,52.6315803527832,20,15.000000953674316,63.15789031982422,5,33.589847564697266,38654705664,0,20455587840,0
204,1771063143762,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.61310577392578,68.83271789550781,66.84375,70.296875,69.59838104248047,71.95574951171875,69.93821716308594,68.70773315429688,71.095947265625,67.94294738769531,67.4278564453125,68.6335220336914,21.052631378173828,20,0,0,0,0,10.526315689086914,9.523809432983398,15.789472579956055,40,40,66.66667175292969,30.000001907348633,0,33.589847564697266,38654705664,0,20459110400,0
202,1771063143967,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.61310577392578,68.83271789550781,66.84375,70.296875,69.59838104248047,71.95574951171875,69.93821716308594,68.70773315429688,71.095947265625,67.94294738769531,67.4278564453125,68.6335220336914,21.052631378173828,19.047618865966797,0,9.090909004211426,4.761904716491699,0,9.523809432983398,0,19.047618865966797,38.095237731933594,47.36842346191406,52.6315803527832,40,5,33.86899948120117,38654705664,0,20463910912,0
200,1771063144170,4,4,4,4,4,4,4,4,4,4,4,4,4,4,66.61310577392578,68.83271789550781,66.84375,70.296875,69.59838104248047,71.95574951171875,69.93821716308594,68.70773315429688,71.095947265625,67.94294738769531,67.4278564453125,68.6335220336914,23.809524536132813,10,4.761904716491699,0,5,0,5,4.761904716491699,52.6315803527832,40,33.333335876464844,33.333335876464844,31.57894515991211,4.761904716491699,33.86899948120117,38654705664,0,20463910912,0
201,1771063144371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.72199249267578,69.1314468383789,67.078125,70.984375,69.38518524169922,71.30058288574219,71.21753692626953,68.1434326171875,70.32486724853516,68.0275650024414,68.28060150146484,69.84854125976563,20,15.000000953674316,4.761904716491699,0,0,0,5.263157844543457,5,45,36.842105865478516,50,15.000000953674316,45,5,33.86899948120117,38654705664,0,20434042880,0
204,1771063144573,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.72199249267578,69.1314468383789,67.078125,70.984375,69.38518524169922,71.30058288574219,71.21753692626953,68.1434326171875,70.32486724853516,68.0275650024414,68.28060150146484,69.84854125976563,31.57894515991211,26.3157901763916,0,5,5,0,14.285715103149414,5.263157844543457,38.095237731933594,50,25,40,28.571430206298828,0,33.86899948120117,38654705664,0,20434796544,0
202,1771063144778,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.72199249267578,69.1314468383789,67.078125,70.984375,69.38518524169922,71.30058288574219,71.21753692626953,68.1434326171875,70.32486724853516,68.0275650024414,68.28060150146484,69.84854125976563,25,14.285715103149414,19.047618865966797,35,30.000001907348633,21.052631378173828,9.523809432983398,9.090909004211426,10,19.047618865966797,19.047618865966797,10,5,35,33.86899948120117,38654705664,0,20447199232,0
201,1771063144980,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.72199249267578,69.1314468383789,67.078125,70.984375,69.38518524169922,71.30058288574219,71.21753692626953,68.1434326171875,70.32486724853516,68.0275650024414,68.28060150146484,69.84854125976563,20,15.000000953674316,26.3157901763916,40,38.095237731933594,42.85714340209961,5.263157844543457,5,10,0,0,0,0,42.85714340209961,34.05707550048828,38654705664,0,20453867520,0
200,1771063145182,4,4,4,4,4,4,4,4,4,4,4,4,4,4,67.72199249267578,69.1314468383789,67.078125,70.984375,69.38518524169922,71.30058288574219,71.21753692626953,68.1434326171875,70.32486724853516,68.0275650024414,68.28060150146484,69.84854125976563,26.3157901763916,20,45,35,42.105262756347656,26.3157901763916,10,0,0,4.761904716491699,0,0,0,40,34.05707550048828,38654705664,0,20428177408,0
202,1771063145382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,67.078125,70.984375,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,5.555555820465088,40,30.000001907348633,15.789472579956055,25,0,4.761904716491699,4.761904716491699,0,0,0,5,15.789472579956055,34.05707550048828,38654705664,0,20446904320,0
203,1771063145585,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,67.078125,70.984375,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,21.052631378173828,15.000000953674316,20,21.052631378173828,23.809524536132813,35,5.263157844543457,5,0,0,0,0,0,25,34.05707550048828,38654705664,0,20448968704,0
204,1771063145788,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,67.078125,70.984375,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,20,10,21.052631378173828,20,25,20,9.523809432983398,0,4.761904716491699,5,0,4.761904716491699,0,25,34.05707550048828,38654705664,0,20449476608,0
199,1771063145993,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.5,1.5,67.078125,70.984375,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,25,10,25,25,25,25,4.761904716491699,4.761904716491699,0,0,4.761904716491699,0,0,20,34.35367202758789,38654705664,0,20450557952,0
